N	Familia	Genero	species	Autor	Sinonimos	Referencias	Taxones_infraespeceficos	Habito	Origen	Cat	Especimen_Representativo	Notas	Regiones_Biogeograficas	Elevacion_Minima	Elevacion_Maxima	Departamentos	Distribucion_global
3949	ORCHIDACEAE	Dracula	Dracula rojasii	N.Pel?ez et al.		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	"Pel?ez NP0285 (HT: JAUM	 IT: HUA) "		Andes	1800 m	1800 m	Antioquia	Cordillera Central
3950	ORCHIDACEAE	Dracula	Dracula senex-furens	N.Pel?ez et al.		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	"Pel?ez NP0288 (HT: JAUM	 IT: HUA)"		Andes	2000 m	2200 m	Antioquia	Cordillera Occidental
3951	ORCHIDACEAE	Dracula	Dracula sergioi	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Escobar 1402 (HT: JAUM)	Tipo de Colombia	Andes	1950 m	1950 m	Antioquia	
3952	ORCHIDACEAE	Dracula	Dracula severa	(Rchb.f.) Luer	Masdevallia chimaera var. severa (Rchb.f.) A.H.Kent	Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	En Peligro	Patin 10 (HT: W)	Tipo de Colombia	Andes	1600 m	2000 m	Antioquia	
3953	ORCHIDACEAE	Dracula	Dracula spectrum	(Rchb.f.) A.Doucette	Dracula lowii (Rolfe) Luer, Dracula platycrater (Rchb.f.) Luer, Masdevallia lowii Rolfe, Masdevallia platycrater Rchb.f., Masdevallia spectrum Rchb.f.	Doucette 2012		Hierba, Ep?fita	Nativa	No Evaluada	Shuttleworth s.n. (LT: W)	Tipo de Colombia	Andes	1500 m	1700 m	Antioquia, Caldas, Cauca	
3954	ORCHIDACEAE	Dracula	Dracula syndactyla	Luer		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Luer 6313 (HT: SEL)	Tipo de Colombia	Andes	1950 m	1950 m	Nari?o	
3955	ORCHIDACEAE	Dracula	Dracula tsubotae	Luer		Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	Datos Insuficientes	Barrow R08 (HT: MO)	Tipo de Colombia	Andes	1500 m	1500 m	Nari?o	SO Colombia
3956	ORCHIDACEAE	Dracula	Dracula veleziana	Luer & V.N.M.Rao		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Rao 171 (HT: MO)		Andes	1900 m	2100 m	Antioquia	Cordillera Occidental
3957	ORCHIDACEAE	Dracula	Dracula velutina	(Rchb.f.) Luer		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Wallis s.n. (HT: W)	Tipo de Colombia	Andes	1220 m	1220 m	Antioquia	
3958	ORCHIDACEAE	Dracula	Dracula venefica	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Datos Insuficientes	Escobar 1903 (HT: JAUM)	Tipo de Colombia				Antioquia	
3959	ORCHIDACEAE	Dracula	Dracula verticulosa	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Escobar 4000 (HT: JAUM)	Tipo de Colombia	Andes	1800 m	1900 m	Valle	O Colombia
3960	ORCHIDACEAE	Dracula	Dracula villegasii	K?niger		Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	Vulnerable	K?niger WK-91 (HT: M)	Tipo de Colombia	Andes	1900 m	1900 m	Antioquia	
3961	ORCHIDACEAE	Dracula	Dracula vinacea	Luer & R.Escobar		Luer 1993, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Escobar 968 (HT: JAUM)	Tipo de Colombia	Andes	2000 m	2200 m	Boyac?	
3962	ORCHIDACEAE	Dracula	Dracula vlad-tepes	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Luer 2180 (HT: JAUM)	Tipo de Colombia	Andes	2500 m	2500 m	Santander	NE Colombia
3963	ORCHIDACEAE	Dracula	Dracula wallisii	(Rchb.f.) Luer	Masdevallia chimaera var. wallisii (Rchb.f.) A.H.Kent, Masdevallia chimarea J.D.Hooker, Masdevallia chimarea W.G.Smith	Luer 1993, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Preocupaci?n Menor	"Wallis s.n. (HT: K	 IT: W)"	Tipo de Colombia	Andes	1600 m	2800 m	Antioquia, Cauca, Choc?, Valle	O Colombia
3964	ORCHIDACEAE	Dracula	Dracula x anicula	Luer & R.Escobar		Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Datos Insuficientes	Escobar 1270 (HT: JAUM)	Tipo de Colombia	Andes	1900 m	2100 m	Antioquia	
3965	ORCHIDACEAE	Dracula	Dracula x radio-syndactyla	Luer		Luer 1993, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Luer 6314 (HT: SEL)	Tipo de Colombia	Andes	1950 m	1950 m	Nari?o	SO Colombia
3966	ORCHIDACEAE	Dracula	Dracula xenos	Luer & R.Escobar		Luer 1993, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Datos Insuficientes	Luer 13012 (HT: MO)	Tipo de Colombia	Andes	2000 m	2000 m	Valle	
3967	ORCHIDACEAE	Dressleria	Dressleria kalbreyeri	H.G.Hills		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Kalbreyer 504 (HT: W)	Tipo de Colombia	Andes	1200 m	1200 m	Norte de Santander	Colombia a Per?
3968	ORCHIDACEAE	Dressleria	Dressleria morenoi	H.G.Hills & M.H.Weber		Hills & Weber 2012		Hierba, Ep?fita	Nativa	No Evaluada	"Weber 319/2008 (HT: K	 IT: K)"	Conocida solo del tipo	Andes	650 m	650 m	Valle	Cordillera Occidental
3969	ORCHIDACEAE	Dryadella	Dryadella cristata	Luer & R.Escobar		Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Escobar 1981 (HT: JAUM)	Tipo de Colombia	Andes	1100 m	1700 m	Cauca, Valle	O Colombia
3970	ORCHIDACEAE	Dryadella	Dryadella mocoana	Luer & R.Escobar		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Luer 2957 (HT: SEL) 		Andes	600 m	800 m	Putumayo	S Colombia
3971	ORCHIDACEAE	Dryadella	Dryadella rodrigoi	Luer		Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Escobar 1396 (HT: SEL)	Tipo de Colombia	Andes	1500 m	1500 m	Cauca	SO Colombia
3972	ORCHIDACEAE	Dryadella	Dryadella verrucosa	Luer & R.Escobar		Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Luer 10091 (HT: MO)	Tipo de Colombia	Andes	2000 m	2000 m	Antioquia	
3973	ORCHIDACEAE	Echinorhyncha	Echinorhyncha antonii	(P.Ortiz) Dressler	Chondrorhyncha antonii P.Ortiz	Harding 2008		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 1054 (HT: HPUJ)	Tipo de Colombia	Pac?fico	200 m	200 m	Choc?	Colombia
3974	ORCHIDACEAE	Echinorhyncha	Echinorhyncha manzurii	(P.Ortiz) P.A.Harding & Manzur	Chondrorhyncha manzurii P.Ortiz	Harding 2009		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 1113 (HT: COL)	Conocida solo del tipo	Andes	1600 m	1600 m	Valle	Colombia
3975	ORCHIDACEAE	Elleanthus	Elleanthus bogotensis	Schltr.		Ortiz 1995, Govaerts et al. 2012		Hierba	Nativa	No Evaluada	Hopf s.n. (HT: B, destruido)	Tipo de Colombia	Andes	2500 m	2500 m	Cundinamarca	Cordillera Oriental
3976	ORCHIDACEAE	Elleanthus	Elleanthus cinnabarinus	Garay		Ortiz 1995		Hierba	Nativa	No Evaluada	Escobar 131 (HT: AMES)	Tipo de Colombia	Andes	3100 m	3100 m	Antioquia	Colombia
3977	ORCHIDACEAE	Elleanthus	Elleanthus congestus	Schltr.		Ortiz 1995		Hierba	Nativa	No Evaluada	Hopp 45 (HT: B, destruido)	Tipo de Colombia	Andes	3000 m	3000 m	Putumayo	Colombia
3978	ORCHIDACEAE	Elleanthus	Elleanthus coriifolius	(Linden) Rchb.f.		Ortiz 1995, Govaerts et al. 2012		Hierba	Nativa	No Evaluada	Linden 1272 (HT: W)		Sierra Nevada de Santa Marta			Magdalena	Colombia
3979	ORCHIDACEAE	Elleanthus	Elleanthus escobarii	Dodson		Govaerts et al. 2012		Hierba	Nativa	No Evaluada	Escobar 5429 (HT: RPSC)	Tipo de Colombia	Andes	1900 m	1900 m	Risaralda	
3980	ORCHIDACEAE	Elleanthus	Elleanthus grandiflorus	Schltr.		Ortiz 1995		Hierba	Nativa	No Evaluada	Madero s.n. (HT: B, destruido)	Tipo de Colombia	Andes	2000 m	2000 m	Cauca	Colombia
3981	ORCHIDACEAE	Elleanthus	Elleanthus haematoxanthus	(Linden) Rchb.f.		Ortiz 1995		Hierba	Nativa	No Evaluada	Schlim 25 (HT: G)	Tipo de Colombia	Andes	1200 m	1200 m	Norte de Santander	Cordillera Oriental
3982	ORCHIDACEAE	Elleanthus	Elleanthus kalbreyeri	Garay	Elleanthus longibracteatus Kraenzl.	Ortiz 1995		Hierba	Nativa	No Evaluada	Kalbreyer 768 (HT: W)	Tipo de Colombia	Andes	2600 m	2700 m	Santander	Cordillera Oriental
3983	ORCHIDACEAE	Elleanthus	Elleanthus killipii	Garay		Ortiz 1995		Hierba	Nativa	No Evaluada	Killip 11760 (HT: AMES)	Tipo de Colombia	Pac?fico	10 m	10 m	Valle	Colombia
3984	ORCHIDACEAE	Elleanthus	Elleanthus laetus	Schltr.		Ortiz 1995		Hierba	Nativa	No Evaluada	Hopp 144 (HT: B, destruido)	Tipo de Colombia	Andes	2500 m	2500 m	Nari?o	Colombia
3985	ORCHIDACEAE	Elleanthus	Elleanthus leiocaulon	Schltr.		Ortiz 1995		Hierba	Nativa	No Evaluada	Schultze 34 (HT: B, destruido)	Tipo de Colombia	Andes	1500 m	1500 m	Cundinamarca	Cordillera Oriental
3986	ORCHIDACEAE	Elleanthus	Elleanthus pastoensis	Schltr.		Ortiz 1995		Hierba	Nativa	No Evaluada	Hopp 32 (HT: B, destruido)	Tipo de Colombia	Andes	2300 m	2300 m	Nari?o	Colombia
3987	ORCHIDACEAE	Elleanthus	Elleanthus venustus	Schltr.		Ortiz 1995, Govaerts et al. 2012		Hierba	Nativa	No Evaluada	Hopp 145 (HT: B, destruido)	Tipo de Colombia	Andes	2300 m	2300 m	Nari?o	
3988	ORCHIDACEAE	Elleanthus	Elleanthus vinosus	Schltr.		Ortiz 1995, Govaerts et al. 2012		Hierba	Nativa	No Evaluada	Hopp 23 (HT: B, destruido)	Tipo de Colombia	Andes	3800 m	3800 m	Nari?o	Colombia
3989	ORCHIDACEAE	Eloyella	Eloyella antioquiensis	(P.Ortiz) P.Ortiz	Phymatidium antioquiense P.Ortiz	Ortiz 1977		Hierba, Ep?fita	Nativa	No Evaluada	Escobar 1604 (HT: COL)	Tipo de Colombia	Andes	2000 m	2000 m	Antioquia	Colombia
3990	ORCHIDACEAE	Eloyella	Eloyella cundinamarcae	(P.Ortiz) P.Ortiz	Phymatidium cundinamarcae P.Ortiz	Ortiz 1977		Hierba, Ep?fita	Nativa	No Evaluada	"Ortiz 768 (HT: COL	 IT: HPUJ)"	Tipo de Colombia	Andes	1900 m	2500 m	Antioquia, Cundinamarca	Colombia
3991	ORCHIDACEAE	Embreea	Embreea rodigasiana	(Cogn.) Dodson	Stanhopea rodigasiana Cogn.	Jenny 2002		Hierba, Ep?fita	Nativa	Vulnerable	"Claes s.n. (HT: BR	 IT: K)"	Tipo de Colombia	Andes, Pac?fico	0 m	1000 m	Antioquia, Cauca, Choc?, Valle	Colombia
3992	ORCHIDACEAE	Encyclia	Encyclia expansa	(Rchb.f.) P.Ortiz	Epidendrum expansum Rchb.f.	Withner 2000		Hierba, Ep?fita	Nativa	No Evaluada	Reichenbach 993 (HT: W)		Andes	1000 m	1000 m	Desconocido	
3993	ORCHIDACEAE	Encyclia	Encyclia garzonensis	Withner		Withner 2000		Hierba, Ep?fita	Nativa	No Evaluada	Kennedy s.n. (HT: AMES)		Andes	1600 m	2100 m	Huila	
3994	ORCHIDACEAE	Encyclia	Encyclia maderoi	Schltr.		Withner 2000		Hierba, Ep?fita	Nativa	No Evaluada	Speckmaier s.n. (W)		Andes	900 m	1300 m	Antioquia	
3995	ORCHIDACEAE	Encyclia	Encyclia magdalenae	Withner		Withner 2000		Hierba, Ep?fita	Nativa	No Evaluada	Withner s.n. (HT: AMES)		Andes			Desconocido	
3996	ORCHIDACEAE	Encyclia	Encyclia parkeri	Reina-Rodr?guez & Leopardi		Leopardi-Verde et al. 2014		Hierba, Ep?fita	Nativa	En Peligro Cr?tico	"Reina-Rodr?guez 1694 (HT: CUVC	 IT: COL, HUA)"	Tipo de Colombia	Andes	1300 m	1400 m	Valle	Cordillera Occidental
3997	ORCHIDACEAE	Encyclia	Encyclia profusa	(Rolfe) Dressler & G.E.Pollard	Epidendrum profusum Rolfe	Withner 2000		Hierba, Ep?fita	Nativa	No Evaluada	Sander 566-11 (K)		Andes			Cundinamarca	
3998	ORCHIDACEAE	Encyclia	Encyclia sp. 2					Hierba, Ep?fita	Nativa	No Evaluada	Leopardi 408 (CICY)					Desconocido	
3999	ORCHIDACEAE	Encyclia	Encyclia sp. 3					Hierba, Ep?fita	Nativa	No Evaluada	Leopardi 409 (CICY)					Desconocido	
4000	ORCHIDACEAE	Encyclia	Encyclia sp. 4					Hierba, Ep?fita	Nativa	No Evaluada	Proctor 3371 (US)		Islas Caribe?as	0 m	100 m	San Andr?s, Providencia y Santa Catalina	
4001	ORCHIDACEAE	Epidendrum	Epidendrum acutissimum	Lindl.				Hierba, Ep?fita	Nativa	No Evaluada	Pennell 9271 (AMES, NY, US)	Tipo de Colombia	Andes	2600 m	2900 m	Caldas, Tolima	Colombia
4002	ORCHIDACEAE	Epidendrum	Epidendrum aguirrei	H?gsater		H?gsater 1999, Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	No Evaluada	H?gsater 11527 (HT: COL)	Tipo de Colombia	Andes	1500 m	2000 m	Antioquia	Colombia
4003	ORCHIDACEAE	Epidendrum	Epidendrum amayense	H?gsater		Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	No Evaluada	H?gsater 11669 (HT: COL)	Tipo de Colombia	Andes	2000 m	3500 m	Antioquia	Cordillera Central
4004	ORCHIDACEAE	Epidendrum	Epidendrum ampelomelanoxeros	H?gsater et al.				Hierba, Ep?fita	Nativa	No Evaluada	Sarr?a 268 (HT: CUVC)	Tipo de Colombia	Andes	3350 m	3400 m	Caldas, Valle	
4005	ORCHIDACEAE	Epidendrum	Epidendrum amplexirisaraldense	H?gsater & E.Santiago				Hierba, Ep?fita	Nativa	No Evaluada	Jaramillo 6117 (HT: COL)	Tipo de Colombia	Andes	2890 m	2890 m	Risaralda	
4006	ORCHIDACEAE	Epidendrum	Epidendrum anchinocturnum	H?gsater		H?gsater 1999		Hierba, Ep?fita	Nativa	No Evaluada	"H?gsater 7383 (HT: AMO	 IT: COL)"	Tipo de Colombia	Pac?fico	250 m	250 m	Valle	Colombia
4007	ORCHIDACEAE	Epidendrum	Epidendrum andrei	H?gsater & L.S?nchez		H?gsater & S?nchez 1999		Hierba, Ep?fita	Nativa	No Evaluada	Andr? 2420 (HT: K-L)	Tipo de Colombia	Andes	1250 m	1400 m	Valle	Colombia
4008	ORCHIDACEAE	Epidendrum	Epidendrum angaritae	H?gsater		H?gsater 1999		Hierba, Ep?fita	Nativa	No Evaluada	"H?gsater 11625 (HT: AMO	 IT: COL, JAUM, MO)"	Tipo de Colombia	Andes	1800 m	1800 m	Antioquia	Colombia
4009	ORCHIDACEAE	Epidendrum	Epidendrum anitae	Schltr.		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Schultze 22 (HT: B, destruido)	Tipo de Colombia	Andes	1200 m	1500 m	Cundinamarca	Colombia
4010	ORCHIDACEAE	Epidendrum	Epidendrum anthoceros	Linden & Rchb.f.				Hierba, Ep?fita	Nativa	No Evaluada	Schlim 1157 (HT: W-R, IT: BR, G)	Tipo de Colombia	Andes	2000 m	2500 m	Norte de Santander	Colombia
4011	ORCHIDACEAE	Epidendrum	Epidendrum arachnoglossum	Andr?				Hierba	Nativa	No Evaluada	Cuatrecasas 5008 (COL)	Tipo de Colombia	Andes	2500 m	3000 m	Cauca, Cundinamarca, Nari?o	Colombia
4012	ORCHIDACEAE	Epidendrum	Epidendrum arnoldii	Schltr.		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Linares 2345 (COL, NY)	Tipo de Colombia	Andes	2000 m	2200 m	Cundinamarca	Colombia
4013	ORCHIDACEAE	Epidendrum	Epidendrum atrobrunneum	Schltr.		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Garc?a-Barriga 17719 (AAU, COL, NY)	Tipo de Colombia	Andes	3500 m	4200 m	Cundinamarca, Nari?o	Colombia
4014	ORCHIDACEAE	Epidendrum	Epidendrum aura-usecheae	H?gsater, Rinc.-Useche & O.P?rez				Hierba	Nativa	Casi Amenazada	"Rinc?n 3 (HT: COL	 IT: CUVC)"	Tipo de Colombia	Andes	1200 m	2600 m	Cundinamarca, Antioquia, Valle, Santander, Boyac?	Colombia
4015	ORCHIDACEAE	Epidendrum	Epidendrum aurigineum	Barringer				Hierba, Ep?fita	Nativa	No Evaluada	Albert 7774 (HT:MO)	Tipo de Colombia	Andes	1600 m	1900 m	Antioquia	Cordillera Central
4016	ORCHIDACEAE	Epidendrum	Epidendrum auro-usecheae	H?gsater et al.				Hierba	Nativa	No Evaluada	"Rinc?n 3 (HT: COL	 IT: CUVC)"	Tipo de Colombia	Andes	1200 m	2600 m	Antioquia, Boyac?, Cundinamarca, Santander, Valle	
4017	ORCHIDACEAE	Epidendrum	Epidendrum aylacotoglossum	H?gsater		H?gsater 2004, Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	No Evaluada	Sin colector 5515 (HT: AMES)	Tipo de Colombia	Andes	1800 m	1800 m	Antioquia	Colombia
4018	ORCHIDACEAE	Epidendrum	Epidendrum betancurii	H?gsater & E.Santiago				Hierba	Nativa	Datos Insuficientes	Luteyn 12286 (HT: CUCV)	Tipo de Colombia	Pac?fico	1750 m	2050 m	Antioquia, Choc?, Valle	Colombia, Cordillera occidental
4019	ORCHIDACEAE	Epidendrum	Epidendrum bispathulatum	H?gsater et al.				Hierba, Ep?fita	Nativa	No Evaluada	P?rez 513 (HT: VALLE)	Tipo de Colombia	Andes	1600 m	2200 m	Caldas, Valle	
4020	ORCHIDACEAE	Epidendrum	Epidendrum bogotense	Schltr.				Hierba, Ep?fita	Nativa	No Evaluada	Hopf s.n. (B, destruido)	Tipo de Colombia	Andes	2000 m	2500 m	Cundinamarca	Colombia
4021	ORCHIDACEAE	Epidendrum	Epidendrum brachypodum	H?gsater		H?gsater 2004		Hierba, Ep?fita	Nativa	No Evaluada	Paz 536 (HT: CUVC)	Tipo de Colombia	Andes	2300 m	2300 m	Choc?	Cordillera Occidental
4022	ORCHIDACEAE	Epidendrum	Epidendrum brachyschistum	Schltr.		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Hopp s.n. (HT: B, destruido)	Tipo de Colombia	Andes	3000 m	3000 m	Nari?o	Colombia
4023	ORCHIDACEAE	Epidendrum	Epidendrum brassivoliforme	F.Lehm. & Kraenzl.		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Lehmann 6846 (HBG, K)	Tipo de Colombia	Andes	2000 m	2500 m	Cauca	Colombia
4024	ORCHIDACEAE	Epidendrum	Epidendrum caeciliae	P.Ortiz & H?gsater		Ortiz, P. 2005		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 1216 (HT: HPUJ)	Tipo de Colombia	Andes			Tolima	Colombia
4025	ORCHIDACEAE	Epidendrum	Epidendrum calothyrsus	Schltr.		Ortiz & Uribe 2008		Hierba	Nativa	No Evaluada	Madero s.n. (HT: B, destruido)	Tipo de Colombia	Andes	1500 m	1500 m	Antioquia	Colombia
4026	ORCHIDACEAE	Epidendrum	Epidendrum calyptratum	F.Lehm. & Kraenzl.		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Cuatrecasas 25243 (COL)	Tipo de Colombia	Andes, Sierra Nevada de Santa Marta	2600 m	3510 m	Cauca, Cesar, Cundinamarca, Putumayo, Quind?o, Risaralda, Tolima	Colombia
4027	ORCHIDACEAE	Epidendrum	Epidendrum calyptrectylosum	H?gsater & E.Santiago				Hierba, Ep?fita	Nativa	No Evaluada	Luer 8357 (HT: SEL)	Tipo de Colombia	Andes	3000 m	3200 m	Cauca, Nari?o	
4028	ORCHIDACEAE	Epidendrum	Epidendrum campyloglossum	P.Ortiz & H?gsater		Ortiz & H?gsater 1999		Hierba, Ep?fita	Nativa	No Evaluada	Calder?n 53 (HT: TOLI)	Tipo de Colombia	Pac?fico	50 m	50 m	Valle	Colombia
4029	ORCHIDACEAE	Epidendrum	Epidendrum cancanae	(P.Ortiz) H?gsater	Epidendrum gymnopodum H?gsater, Oerstedella cancanae P.Ortiz	Santiago & H?gsater 2007		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 1121 (HT: COL)	Tipo de Colombia	Andes	600 m	1000 m	Antioquia, Choc?	Colombia
4030	ORCHIDACEAE	Epidendrum	Epidendrum caquetanum	Schltr.		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Hopp 181 (B, destruido)	Tipo de Colombia	Amazonia, Andes	530 m	530 m	Caquet?	Colombia
4031	ORCHIDACEAE	Epidendrum	Epidendrum carautaense	H?gsater & L.S?nchez		H?gsater & S?nchez 2009		Hierba, Ep?fita	Nativa	No Evaluada	Schmidtchen s.n. (HT: W-R)	Tipo de Colombia	Andes	3000 m	3000 m	Antioquia	Cordillera Occidental
4032	ORCHIDACEAE	Epidendrum	Epidendrum catillus	Rchb.f. & Warsz.		Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	No Evaluada	Luer 13074 (MO)	Tipo de Colombia	Andes	2492 m	2492 m	Antioquia	Colombia
4033	ORCHIDACEAE	Epidendrum	Epidendrum cernuum	Kunth		Santiago & H?gsater 2009		Hierba, Ep?fita	Nativa	No Evaluada	Humboldt 2111 (HT: P)	Tipo de Colombia	Andes	2000 m	3000 m	Cauca, Nari?o, Tolima	Colombia
4034	ORCHIDACEAE	Epidendrum	Epidendrum ceticaudatum	Rinc?n-Gonz?lez et al.		Rinc?n-Gonz?lez et al. 2015		Ep?fita, Hierba	Nativa	No Evaluada	"Rinc?n Gonz?lez 114-145-189 (HT: TOLI	 IT: COL)"	Tipo de Colombia	Pac?fico	70 m	80 m	Valle	SO Colombia
4035	ORCHIDACEAE	Epidendrum	Epidendrum chaquirense	H?gsater & L.S?nchez		S?nchez 2004, Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	No Evaluada	Pennell 4347 (HT: NY, IT: AMES)	Conocida solo del tipo	Andes	2800 m	3100 m	Antioquia	Colombia
4036	ORCHIDACEAE	Epidendrum	Epidendrum chilcalorum	H?gsater et al.		H?gsater et al. 2015e		Hierba	Nativa	No Evaluada	Rodr?guez-Mart?nez 163 (HT: VALLE)	Tipo de Colombia	Andes	1800 m	1900 m	Valle	SO Colombia
4037	ORCHIDACEAE	Epidendrum	Epidendrum chioneum	Lindl.	Epidendrum claesianum Cogn.	Santiago & H?gsater 2009		Hierba	Nativa	No Evaluada	H?gsater 11483 (AMES, AMO, COL, JAUM, QCA, W-R)		Andes	2100 m	3400 m	Boyac?, Cundinamarca	Cordillera Oriental
4038	ORCHIDACEAE	Epidendrum	Epidendrum ciliipetalum	(Garay) H?gsater & E.Santiago	Epidanthus ciliipetalus Garay	H?gsater & Santiago 2007		Hierba, Ep?fita	Nativa	No Evaluada	Escobar 422 (HT: AMES)	Tipo de Colombia	Andes	800 m	1800 m	Antioquia, Cauca	Colombia
4039	ORCHIDACEAE	Epidendrum	Epidendrum cleefii	H?gsater & E.Santiago		H?gsater & Santiago 2009		Hierba, Ep?fita	Nativa	No Evaluada	Jaramillo 5397 (HT: COL, IT: U)	Tipo de Colombia	Sierra Nevada de Santa Marta	3000 m	3300 m	Magdalena	Colombia
4040	ORCHIDACEAE	Epidendrum	Epidendrum cleistocoleum	H?gsater & E.Santiago		Santiago 2004		Hierba, Ep?fita	Nativa	No Evaluada	H?gsater 11699 (HT: HUA)	Tipo de Colombia	Andes	2000 m	2700 m	Antioquia, Risaralda, Valle	Colombia
4041	ORCHIDACEAE	Epidendrum	Epidendrum colliculosum	H?gsater & E.Santiago		H?gsater & Santiago 2004		Hierba, Ep?fita	Nativa	No Evaluada	Luer 3746 (HT: SEL)	Tipo de Colombia	Andes	3200 m	3200 m	Nari?o	Colombia
4042	ORCHIDACEAE	Epidendrum	Epidendrum commelinoides	Schltr.				Hierba, Ep?fita	Nativa	No Evaluada	Madero s.n. (HT: B, destruido)	Conocida solo del tipo	Andes	2000 m	2000 m	Cauca	Colombia
4043	ORCHIDACEAE	Epidendrum	Epidendrum coordinatum	Rchb.f.	Epidendrum chondrochilum F.Lehm. & Kraenzl.	H?gsater & Santiago 2015a		Hierba	Nativa	No Evaluada	Regel s.n. (HT: W-R)	Tipo de Colombia	Andes	2500 m	3000 m	Antioquia	Colombia
4044	ORCHIDACEAE	Epidendrum	Epidendrum corallinum	H?gsater		H?gsater 2009		Hierba, Ep?fita	Nativa	No Evaluada	Schmidtchen s.n. (HT: W-R)	Tipo de Colombia	Andes	3000 m	3000 m	Tolima	Cordillera Central
4045	ORCHIDACEAE	Epidendrum	Epidendrum cottoniiflorum	(Rchb.f.) H?gsater	Diothonea cottoniiflora Rchb.f.	Santiago & H?gsater 2006		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 67 (HPUJ)	Tipo de Colombia	Andes	1600 m	2500 m	Cauca, Cundinamarca, Nari?o, Putumayo, Valle	Colombia
4046	ORCHIDACEAE	Epidendrum	Epidendrum cuatrecasasii	Garay		H?gsater et al. 2006		Hierba, Ep?fita	Nativa	No Evaluada	Cuatrecasas 16252 (HT: US, IT: AMES, U)	Tipo de Colombia	Pac?fico	0 m	100 m	Choc?, Valle	Colombia
4047	ORCHIDACEAE	Epidendrum	Epidendrum cyclopterum	Schltr.		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Madero s.n. (HT: B, destruido)	Tipo de Colombia	Andes	2500 m	2500 m	Cauca	Colombia
4048	ORCHIDACEAE	Epidendrum	Epidendrum dactylodes	H?gsater		H?gsater 2009, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	"Triana 1376 (HT: W-R	 IT: P)"	Conocida solo del tipo	Andes	3010 m	3010 m	Nari?o	
